input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace
2509,llama3.1:8b,hatemoderate,calib_nmv140,not_hate,hate,0,0,0,0,0,0,subhumanity,"['Screener', 'Analyst']","['escalate', 'not_hate']",1,280,525840,1005,0.0,
441,llama3.1:8b,hatemoderate,calib_nmv140,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,140,260820,427,0.0,
6117,llama3.1:8b,hatemoderate,calib_nmv140,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,140,264460,427,0.0,
5162,llama3.1:8b,hatemoderate,calib_nmv140,hate,hate,1,0,0,0,0,0,attacking education,['Screener'],['hate'],0,140,262220,420,0.0,
4820,llama3.1:8b,hatemoderate,calib_nmv140,escalate,hate,,1,0,0,0,0,attacking intellectual capability,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,420,972300,1627,0.0,
3335,llama3.1:8b,hatemoderate,calib_nmv140,not_hate,hate,0,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,140,264040,560,0.0,
4866,llama3.1:8b,hatemoderate,calib_nmv140,hate,not_hate,0,0,0,0,0,0,attacking intellectual capability,['Screener'],['hate'],0,140,260540,420,0.0,
29498,llama3.1:8b,hatemoderate,calib_nmv140,not_hate,not_hate,1,0,0,0,0,0,political exclusion,['Screener'],['not_hate'],0,140,265440,516,0.0,
24880,llama3.1:8b,hatemoderate,calib_nmv140,not_hate,not_hate,1,0,0,0,0,0,sexual predator,['Screener'],['not_hate'],0,140,264880,560,0.0,
3963,llama3.1:8b,hatemoderate,calib_nmv140,not_hate,not_hate,1,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,140,261380,507,0.0,
27049,llama3.1:8b,hatemoderate,calib_nmv140,hate,not_hate,0,0,0,0,0,0,contempt shouldnt exist,['Screener'],['hate'],0,140,261240,420,0.0,
20428,llama3.1:8b,hatemoderate,calib_nmv140,not_hate,not_hate,1,0,0,0,0,0,less than adequate,"['Screener', 'Analyst']","['escalate', 'not_hate']",1,280,524440,970,0.0,
